key,mean,lower,upper,n.subj,n.item,seed
syntax_critical,1.4664310703554058,0.9563665022592527,2.009341368426699,350,8,62
syntax_filler,1.070121250190141,0.5790961099575006,1.5967640205654208,350,8,62
b_Intercept,2.3270539154556356,1.8466469793056164,2.843146043700205,350,8,63
b_syntax_dev1,0.8444962374629565,0.6730726818949246,1.0272923540788053,350,8,63
b_syntax_dev1:trial_dev1,0.18965417494202605,-0.002956295149313389,0.38415951159990036,350,8,63
b_trial_dev1,-0.3320172816676308,-0.6540402876045848,-0.022349856103590256,350,8,63
critical_pred,2.004229134602336,1.381417212790313,2.6465123428468345,350,8,63
critical_subj,3.313913259644197,2.648819797973638,4.0374714947040005,350,8,63
filler_pred,0.9608862213830223,0.3786413949602421,1.5379194289898657,350,8,63
filler_subj,3.0291870461929875,2.3829770544180695,3.711943887611762,350,8,63
syntax_critical,1.3096841250418612,0.795294594646503,1.8284518182614455,350,8,63
syntax_filler,2.068300824809965,1.5554055650059229,2.620569360840681,350,8,63
b_Intercept,3.2174990458916892,2.5764282772081355,3.9123686526410117,350,8,64
b_syntax_dev1,0.8980621747201497,0.6972493201236686,1.111692282089874,350,8,64
b_syntax_dev1:trial_dev1,-0.059398749863577745,-0.28119683835168646,0.16582831545249754,350,8,64
b_trial_dev1,-0.18667676575320277,-0.5717767189264636,0.21027735942000075,350,8,64
critical_pred,2.4467148870611646,1.6905304520187352,3.265091489004581,350,8,64
critical_subj,4.361636736228619,3.5149423142854506,5.299241936720312,350,8,64
filler_pred,2.1921588552819147,1.4422936577898329,2.990509743465938,350,8,64
filler_subj,3.8694857049950584,3.0542311145900225,4.766720739651314,350,8,64
syntax_critical,1.914921849167455,1.3256873042893835,2.555493746070006,350,8,64
syntax_filler,1.677326849713144,1.0990953836863793,2.296606679899596,350,8,64
b_Intercept,2.996537991825584,2.4248854470244092,3.6421268551966075,350,8,65
b_syntax_dev1,0.8896596987909046,0.6035799206822975,1.1953818438414368,350,8,65
b_syntax_dev1:trial_dev1,0.051623321697272476,-0.1300289871291824,0.23126667967571315,350,8,65
b_trial_dev1,0.15149598333711276,-0.15848372753315204,0.4619432554974479,350,8,65
critical_pred,2.007005631394839,1.3001965314573765,2.748866878982214,350,8,65
critical_subj,3.683078385582103,2.9333412766664413,4.5300806213705815,350,8,65
filler_pred,2.2067509546745194,1.5216536884259255,2.9473177916150615,350,8,65
filler_subj,4.089316995650874,3.320582131605713,4.94673343775589,350,8,65
syntax_critical,1.6760727541872642,1.0008020092931105,2.3941493013401005,350,8,65
syntax_filler,1.882566040976354,1.2055773893382327,2.5988466824930296,350,8,65
b_Intercept,3.5996138016334807,3.0564093519916806,4.221566830154373,350,8,66
b_syntax_dev1,1.0344803973822194,0.8007692749243824,1.2730910237008168,350,8,66
b_syntax_dev1:trial_dev1,0.1725151365535106,-0.0832485346635679,0.42933685506034647,350,8,66
b_trial_dev1,0.24783482004499702,-0.08556235676227972,0.5918704373934457,350,8,66
critical_pred,2.489813720759775,1.8429375579504494,3.204547792112401,350,8,66
critical_subj,4.213744242417192,3.461588452427381,5.031288654745221,350,8,66
